,month,n,unempt5w_lag12,oilimport_lag12,ngspot_lag3,10yinf_lag12,sentiment_lag3,new_units_lag6,altsales_lag3,totalsa_lag3,newhouses_lag3,pempltot_lag3,laborpart_lag3,overmanuf_lag6,fedsurplus_lag3,industry_lag9,industrycg_lag9,industryut_lag9,treasurymat7_lag3,F_v_lag6,AN_v_lag3,MZDAY_v_lag3,XOM_v_lag6,TM_v_lag3,BWA_v_lag6,GT_lag3,GT_v_lag12,HMC_v_lag3,g_new_cars_lag3,g_car_for_sale_near_me_lag3,g_best_new_cars_lag9,g_how_to_buy_a_car_lag9,bin,m_num
110,114,311,2254,270.2,2.95,2.12,98.4,3608.29871742405,17.216,17.733,5.8,117039000,63.1,4.4,-146944.76565389,104.6149,101.1465,101.4058,2.47,956236809,21250415,691901,380646842,3022667,38028702,18.15,50614673,9268593,39,42,50,46,1,6
111,115,322,1959,272.1,2.65,2.12,97.2,3455.5967209035903,16.327,16.898,5.7,117552000,62.9,4.5,160304.50890986,103.5109,101.1639,94.4922,2.43,1004323476,19511840,355298,269229087,2641924,35115377,19.21,80484533,8638297,38,27,28,38,0,7
112,116,350,2242,263.7,2.64,2.1,100.0,2647.3842178871105,17.17,17.725,6.5,118280000,62.9,4.4,-207768.39134666,103.228,101.2022,101.3895,2.29,730016395,19588774,780839,245067931,3462880,34019729,13.41,67052524,15120256,34,60,64,35,1,8
113,117,304,2061,263.9,2.4,2.12,98.2,3881.28065679264,17.132,17.68,5.3,119290000,62.9,4.4,-8476.31845422,103.601,100.9555,110.5936,1.95,944056340,12818304,1796332,272455536,2438325,31022339,15.3,62687565,11482533,42,51,41,36,0,9
114,118,297,2033,271.3,2.37,2.11,98.4,4828.03609606996,16.982,17.551,5.8,119755000,63.1,4.4,-119695.80619346,103.1944,100.2374,120.0835,1.93,938067587,19816125,1516463,219524124,3393202,37892426,13.73,101962935,10937934,47,52,45,51,1,10
115,119,323,2168,220.8,2.22,2.01,89.8,4305.94238306576,17.092,17.635,5.6,119777000,63.1,4.3,-200344.34892913,102.7222,100.5533,109.9869,1.55,800091488,13953344,3087514,250095412,2892970,36628630,11.47,62803759,15911934,55,46,42,38,0,11
116,120,332,2143,178.3,2.56,1.81,93.2,3607.76739104414,17.205,17.77,5.4,119752000,63.2,4.3,82767.65846478,103.0721,101.0626,104.4755,1.64,627588379,12110446,2036899,218954593,3049252,32548946,14.405,54935717,16277501,45,60,22,50,1,12
117,121,299,2352,201.1,2.33,1.79,95.5,4528.901744294821,16.919,17.425,5.4,119865000,63.2,4.3,-134467.56493381,100.6968,99.7413,88.2739,1.62,891423556,14146550,1940038,186918995,3193170,41400777,15.87,127339967,16975361,44,49,13,51,0,1
118,122,309,2269,229.9,2.65,1.88,96.8,3771.420594276789,17.187,17.645,5.6,120075000,63.2,4.2,-208838.29445674,101.2748,100.2936,92.6372,1.74,754413259,7662255,426213,278110349,2440127,36856959,15.99,146883485,12463671,47,42,29,47,1,2
119,123,170,2196,246.4,2.22,1.91,99.3,4310.8835628180295,17.075,17.54,5.6,119504000,63.3,4.1,-13272.55731642,103.9879,100.8992,99.6989,1.79,663475085,9721479,1035868,217304324,2191698,33769681,15.555,68375449,9820856,49,46,0,53,0,3
120,124,2,1956,259.7,2.02,1.94,99.8,3816.32454775245,16.884,17.314,5.5,120400000,63.4,4.1,-32593.28000764,102.1311,100.6116,113.925,1.67,895102427,13501639,1108805,244654156,3171235,34155199,13.13,51817135,10221549,52,36,14,36,1,4
121,125,363,2093,269.3,1.91,1.83,101.0,4829.264544040279,16.603,17.061,5.7,120362000,63.4,4.1,-235335.21387457,104.9676,100.9573,112.3523,1.42,669643460,17475243,2484677,249557145,4124927,30676369,9.685,98406825,13173388,59,66,76,58,0,5
122,126,306,1879,246.5,1.79,1.7,89.1,4342.12146717825,11.301,11.68,6.5,119928000,62.7,4.0,-119125.16471802,103.0381,100.2008,103.1219,0.78,745873240,25791293,7111131,285375379,9190445,25121745,5.82,68891118,31531292,37,43,38,51,1,6
123,127,295,2098,244.6,1.74,1.75,71.8,4190.791275989821,8.577,8.923,6.7,113548000,60.2,3.9,-737850.62107965,101.4331,99.9544,93.7998,0.55,1088564745,25453359,5202421,359062435,4823634,51775615,7.17,74316106,20997294,31,42,42,45,0,7
124,128,300,2275,232.7,1.75,1.59,72.3,3666.594174982021,12.027,12.328,5.3,113795000,60.8,4.0,-398821.41365968,101.5782,101.2811,99.9351,0.53,1633164669,18203927,3211718,479579213,4504550,78019278,7.61,79317922,23641999,45,55,42,42,1,8
125,129,272,1838,234.6,1.63,1.59,78.1,3467.23290320302,12.92,13.271,3.9,114710000,61.4,3.9,-864074.06849171,101.7663,100.4454,109.8622,0.55,2618758073,18332842,916522,1169374266,4652800,104370022,8.95,80098597,17585948,45,58,40,29,0,9
126,130,293,1922,226.8,1.77,1.56,72.5,2642.07477658806,14.693,15.075,3.5,114679000,61.5,2.8,-62991.72639454,101.2873,100.0985,112.8358,0.46,1951160622,25142273,1109174,790557341,4219823,66668081,9.01,69291712,13222199,42,70,53,42,1,10
127,131,343,2065,230.9,2.3,1.64,74.1,4558.84840069182,15.263,15.704,3.3,114793000,61.7,3.2,-200095.01510766,102.0064,101.1524,106.5041,0.46,1803080129,15199990,1445722,476995660,3521967,82045044,9.595,40938037,14965308,53,87,41,59,0,11
128,132,278,2094,233.5,1.92,1.72,80.4,3480.3374276700897,16.256,16.692,3.4,114854000,61.4,3.4,-124610.55841919,98.0919,96.3369,96.4716,0.46,2158915053,12732469,1219634,584463228,3570846,73993972,7.67,58473878,14907128,48,55,15,33,1,12
129,133,283,2069,232.8,2.39,1.72,81.8,3580.70871888949,16.633,17.084,3.4,115150000,61.6,3.7,-284070.53717284,82.9007,85.2092,86.0479,0.55,1640215402,20798558,2145468,447021565,2979247,53920320,8.28,59707712,10863047,49,46,0,34,0,1
130,134,233,2123,207.5,2.61,1.62,76.9,3316.8287488219203,16.024,16.492,4.1,115353000,61.5,3.7,-145266.26352985,85.2377,88.9109,87.2456,0.63,1114897769,14245229,1565174,449383491,3527876,57815220,10.42,121883254,14546309,37,53,51,30,1,2
131,135,376,3446,136.8,2.59,0.99,80.7,4726.8111533805495,16.482,16.927,4.1,114467000,61.5,3.8,-143562.32743913,93.0916,96.6271,99.7384,0.66,1285314206,14738491,1239413,590861107,5634320,57233340,10.91,182976727,12913819,45,43,15,56,0,3
132,136,356,14251,86.7,2.71,1.1,79.0,3650.96028590028,16.822,17.327,4.0,113532000,61.4,4.0,-162832.48946754,95.2942,101.0609,115.1903,0.77,1421029882,11659896,950284,630468906,6823083,83272944,10.55,125506149,14145419,51,100,49,45,1,4
133,137,390,3846,103.1,5.35,1.12,76.8,3413.25317807558,15.645,16.106,4.8,113680000,61.5,4.0,-310921.94250467,98.3055,101.8092,111.9056,0.91,1434465292,12737463,1169801,703572014,8287965,53781957,16.81,124768236,18536456,47,63,0,46,0,5
134,138,299,2884,137.4,2.62,1.27,84.9,4103.57879965891,17.723,18.223,4.2,113962000,61.5,4.1,-659591.61844058,95.9072,100.3465,98.0708,1.27,1237288449,21669844,1040350,605511099,8922679,49015328,17.57,161858372,21135934,52,100,11,28,1,6
