month,n,unemployment_raw,unemployment_lag1,unemployment_lag2,unemployment_lag3,unemployment_lag6,unemployment_lag12,localrent_raw,localrent_lag1,localrent_lag2,localrent_lag3,localrent_lag6,localrent_lag12,durable_raw,durable_lag1,durable_lag2,durable_lag3,durable_lag6,durable_lag12,10yinf_raw,10yinf_lag1,10yinf_lag2,10yinf_lag3,10yinf_lag6,10yinf_lag12,kwhcost_raw,kwhcost_lag1,kwhcost_lag2,kwhcost_lag3,kwhcost_lag6,kwhcost_lag12,sentiment_raw,sentiment_lag1,sentiment_lag2,sentiment_lag3,sentiment_lag6,sentiment_lag12,new_units_raw,new_units_lag1,new_units_lag2,new_units_lag3,new_units_lag6,new_units_lag12,altsales_raw,altsales_lag1,altsales_lag2,altsales_lag3,altsales_lag6,altsales_lag12,totalsa_raw,totalsa_lag1,totalsa_lag2,totalsa_lag3,totalsa_lag6,totalsa_lag12,ltrucksa_raw,ltrucksa_lag1,ltrucksa_lag2,ltrucksa_lag3,ltrucksa_lag6,ltrucksa_lag12,miles_raw,miles_lag1,miles_lag2,miles_lag3,miles_lag6,miles_lag12,tmaturity_raw,tmaturity_lag1,tmaturity_lag2,tmaturity_lag3,tmaturity_lag6,tmaturity_lag12,carcpi_raw,carcpi_lag1,carcpi_lag2,carcpi_lag3,carcpi_lag6,carcpi_lag12,newhouses_raw,newhouses_lag1,newhouses_lag2,newhouses_lag3,newhouses_lag6,newhouses_lag12,GM_raw,GM_lag1,GM_lag2,GM_lag3,GM_lag6,GM_lag12,GM_v_raw,GM_v_lag1,GM_v_lag2,GM_v_lag3,GM_v_lag6,GM_v_lag12,F_raw,F_lag1,F_lag2,F_lag3,F_lag6,F_lag12,F_v_raw,F_v_lag1,F_v_lag2,F_v_lag3,F_v_lag6,F_v_lag12,TSLA_raw,TSLA_lag1,TSLA_lag2,TSLA_lag3,TSLA_lag6,TSLA_lag12,TSLA_v_raw,TSLA_v_lag1,TSLA_v_lag2,TSLA_v_lag3,TSLA_v_lag6,TSLA_v_lag12,AN_raw,AN_lag1,AN_lag2,AN_lag3,AN_lag6,AN_lag12,AN_v_raw,AN_v_lag1,AN_v_lag2,AN_v_lag3,AN_v_lag6,AN_v_lag12,MZDAY_raw,MZDAY_lag1,MZDAY_lag2,MZDAY_lag3,MZDAY_lag6,MZDAY_lag12,MZDAY_v_raw,MZDAY_v_lag1,MZDAY_v_lag2,MZDAY_v_lag3,MZDAY_v_lag6,MZDAY_v_lag12,XOM_raw,XOM_lag1,XOM_lag2,XOM_lag3,XOM_lag6,XOM_lag12,XOM_v_raw,XOM_v_lag1,XOM_v_lag2,XOM_v_lag3,XOM_v_lag6,XOM_v_lag12,g_new_cars_raw,g_new_cars_lag1,g_new_cars_lag2,g_new_cars_lag3,g_new_cars_lag6,g_new_cars_lag12,g_used_cars_raw,g_used_cars_lag1,g_used_cars_lag2,g_used_cars_lag3,g_used_cars_lag6,g_used_cars_lag12,g_car_raw,g_car_lag1,g_car_lag2,g_car_lag3,g_car_lag6,g_car_lag12,g_car_for_sale_near_me_raw,g_car_for_sale_near_me_lag1,g_car_for_sale_near_me_lag2,g_car_for_sale_near_me_lag3,g_car_for_sale_near_me_lag6,g_car_for_sale_near_me_lag12,g_best_new_cars_raw,g_best_new_cars_lag1,g_best_new_cars_lag2,g_best_new_cars_lag3,g_best_new_cars_lag6,g_best_new_cars_lag12,g_tips_for_buying_a_car_raw,g_tips_for_buying_a_car_lag1,g_tips_for_buying_a_car_lag2,g_tips_for_buying_a_car_lag3,g_tips_for_buying_a_car_lag6,g_tips_for_buying_a_car_lag12,oil_raw,oil_lag1,oil_lag2,oil_lag3,oil_lag6,oil_lag12,ngf1_raw,ngf1_lag1,ngf1_lag2,ngf1_lag3,ngf1_lag6,ngf1_lag12,ngf2_raw,ngf2_lag1,ngf2_lag2,ngf2_lag3,ngf2_lag6,ngf2_lag12,bf90_raw,bf90_lag1,bf90_lag2,bf90_lag3,bf90_lag6,bf90_lag12,lhpi_raw,lhpi_lag1,lhpi_lag2,lhpi_lag3,lhpi_lag6,lhpi_lag12,shpi_raw,shpi_lag1,shpi_lag2,shpi_lag3,shpi_lag6,shpi_lag12,mfrm_raw,mfrm_lag1,mfrm_lag2,mfrm_lag3,mfrm_lag6,mfrm_lag12,lfrm_raw,lfrm_lag1,lfrm_lag2,lfrm_lag3,lfrm_lag6,lfrm_lag12,sfrm_raw,sfrm_lag1,sfrm_lag2,sfrm_lag3,sfrm_lag6,sfrm_lag12,random,auto
45,304,3.5,3.7,3.7,3.6,3.8,3.7,390.531,388.735,386.74,384.479,384.579,379.697,221949,224546,225239,219553,233044,244834,1.59,1.59,1.75,1.7,1.91,2.12,0.111,0.111,0.111,0.112,0.11,0.111,93.2,89.8,98.4,98.2,98.4,100.1,4051.77110753728,3764.8317896328,4596.21709629813,3608.27404862726,3934.4209306106095,3345.93182090676,17.161,17.11,17.032,17.282,17.132,17.3,17.714,17.645,17.597,17.832,17.656,17.811,12.565,12.501,12.34,12.38,12.209,12.067,273319,293308,291520,281359,272379,267434,0.05,0.06,0.22,0.26,0.16,0.23,141.12,141.969,140.365,139.334,138.051,137.544,5.4,5.6,5.8,5.3,5.8,6.6,37.48,37.09,40.34,38.53,37.1,33.67,173228888,150639210,150790123,175431010,179460401,241373894,9.16,9.17,9.53,10.23,8.78,9.25,663475085,754413259,891423556,627588379,944056340,803726638,240.87,225.61,241.61,223.46,279.86,264.77,136563111,134088212,199371373,214970558,213793753,196075479,50.7,47.46,48.68,41.94,35.72,41.55,12110446,13953344,19816125,12818304,21250415,12171373,4.425,4.13,4.765,5.155,5.56,5.96,2036899,3087514,1516463,1796332,691901,1449159,70.61,68.48,74.36,76.63,80.8,85.02,217304324,278110349,186918995,218954593,272455536,227023205,85,73,79,75,74,71,71,78,78,72,94,81,93,96,99,95,93,88,64,68,71,66,64,52,79,78,78,81,71,81,69,41,55,61,39,58,61.09,60.11,65.53,65.6,67.23,81.48,2.33,2.285,2.233,2.308,2.662,3.008,102,54,223,92,76,59,99.06,99.01,98.95,98.9,98.36,98.07,248.57596026,247.36495043,246.08286846,245.26929133,242.75885276,242.990361,241.08658246,239.82382862,238.43786465,237.47307056,234.10761735,231.39233258,3.16,3.06,3.18,3.16,3.57,4.16,3.64,3.58,3.75,3.73,4.06,4.72,3.38,3.31,3.47,3.39,3.75,3.97,8.799382826080546,350
46,297,3.6,3.5,3.7,3.7,3.6,3.8,391.308,390.531,388.735,386.74,387.464,380.244,222975,221949,224546,225239,223929,239723,1.56,1.59,1.59,1.75,1.94,2.11,0.109,0.111,0.111,0.111,0.112,0.108,95.5,93.2,89.8,98.4,97.2,98.6,3775.89362992137,4051.77110753728,3764.8317896328,4596.21709629813,4929.47376408573,3594.0624617719604,16.725,17.161,17.11,17.032,16.427,17.605,17.23,17.714,17.645,17.597,16.997,18.112,12.33,12.565,12.501,12.34,11.668,12.07,283961,273319,293308,291520,273413,281382,0.16,0.05,0.06,0.22,0.19,0.29,140.779,141.12,141.969,140.365,138.355,138.797,5.4,5.4,5.6,5.8,5.7,7,37.16,37.48,37.09,40.34,38.95,36.59,215817107,173228888,150639210,150790123,159364373,389485252,8.59,9.16,9.17,9.53,10.45,9.55,895102427,663475085,754413259,891423556,938067587,1300409817,314.92,240.87,225.61,241.61,238.69,337.32,234866048,136563111,134088212,199371373,230757873,286360727,50.85,50.7,47.46,48.68,41.93,40.48,14146550,12110446,13953344,19816125,19511840,26780133,4.56,4.425,4.13,4.765,5.875,5.21,1940038,2036899,3087514,1516463,355298,2052722,67.57,70.61,68.48,74.36,80.28,79.68,244654156,217304324,278110349,186918995,219524124,305910893,69,85,73,79,69,71,67,71,78,78,77,79,84,93,96,99,93,82,60,64,68,71,60,48,65,79,78,78,71,78,65,69,41,55,52,53,60.52,61.09,60.11,65.53,71.91,75.24,2.633,2.33,2.285,2.233,2.575,3.261,230,102,54,223,59,49,98.99,99.06,99.01,98.95,98.51,98.07,249.98392935,248.57596026,247.36495043,246.08286846,243.55122258,243.02723697,242.52142087,241.08658246,239.82382862,238.43786465,235.24772851,231.96066324,3.19,3.16,3.06,3.18,3.64,4.29,3.78,3.64,3.58,3.75,4.2,4.86,3.43,3.38,3.31,3.47,3.77,4.14,1.1548359321895987,304
47,323,3.6,3.6,3.5,3.7,3.6,3.8,393.437,391.308,390.531,388.735,383.266,382.12,212779,222975,221949,224546,217479,231653,1.64,1.56,1.59,1.59,1.83,2.01,0.109,0.109,0.111,0.111,0.112,0.108,96.8,95.5,93.2,89.8,100,97.5,4823.4933905277,3775.89362992137,4051.77110753728,3764.8317896328,4363.23392458566,3701.79320513618,17.101,16.725,17.161,17.11,17.276,17.441,17.557,17.23,17.714,17.645,17.84,17.939,12.7,12.33,12.565,12.501,12.474,12.22,260326,283961,273319,293308,289711,260473,0.2,0.16,0.05,0.06,0.19,0.26,139.674,140.779,141.12,141.969,138.227,140.295,5.6,5.4,5.4,5.6,6.5,6.7,36,37.16,37.48,37.09,33.34,37.95,191370123,215817107,173228888,150639210,219725912,266803639,9.06,8.59,9.16,9.17,9.52,9.41,669643460,895102427,663475085,754413259,800091488,873823529,329.94,314.92,240.87,225.61,185.16,350.48,157892383,234866048,136563111,134088212,282598837,133019067,51.09,50.85,50.7,47.46,39.47,37.13,7662255,14146550,12110446,13953344,19588774,14756425,4.3995,4.56,4.425,4.13,4.825,5.27,426213,1940038,2036899,3087514,780839,2236444,68.13,67.57,70.61,68.48,70.77,79.5,249557145,244654156,217304324,278110349,250095412,287081980,75,69,85,73,71,72,61,67,71,78,73,75,85,84,93,96,93,84,59,60,64,68,67,46,65,65,79,78,78,72,52,65,69,41,52,74,63.83,60.52,61.09,60.11,64.15,58.33,2.281,2.633,2.33,2.285,2.454,4.612,330,230,102,54,156,154,99.05,98.99,99.06,99.01,98.56,98.04,251.57785315,249.98392935,248.57596026,247.36495043,244.46520439,242.76062212,244.15709126,242.52142087,241.08658246,239.82382862,236.43797048,232.25815604,3.15,3.19,3.16,3.06,3.46,4.25,3.68,3.78,3.64,3.58,3.99,4.81,3.43,3.43,3.38,3.31,3.6,4.12,4.012555962428451,297
48,332,3.6,3.6,3.6,3.5,3.6,3.9,394.65,393.437,391.308,390.531,384.479,383.156,215324,212779,222975,221949,219553,238448,1.72,1.64,1.56,1.59,1.7,1.81,0.109,0.109,0.109,0.111,0.112,0.108,99.3,96.8,95.5,93.2,98.2,98.3,4343.7848089340505,4823.4933905277,3775.89362992137,4051.77110753728,3608.27404862726,3603.2672862118898,16.869,17.101,16.725,17.161,17.282,17.501,17.339,17.557,17.23,17.714,17.832,18.006,12.367,12.7,12.33,12.565,12.38,12.319,261757,260326,283961,273319,281359,270370,0.25,0.2,0.16,0.05,0.26,0.15,139.097,139.674,140.779,141.12,139.334,140.068,5.6,5.6,5.4,5.4,5.3,7.5,36.6,36,37.16,37.48,38.53,33.45,170930979,191370123,215817107,173228888,175431010,227530304,9.3,9.06,8.59,9.16,10.23,7.65,745873240,669643460,895102427,663475085,627588379,956236809,418.33,329.94,314.92,240.87,223.46,332.8,207390450,157892383,234866048,136563111,214970558,146451183,48.63,51.09,50.85,50.7,41.94,35.7,9721479,7662255,14146550,12110446,12818304,13136273,4.22,4.3995,4.56,4.425,5.155,5.09,1035868,426213,1940038,2036899,1796332,2879939,69.78,68.13,67.57,70.61,76.63,68.19,285375379,249557145,244654156,217304324,218954593,380646842,82,75,69,85,75,73,64,61,67,71,72,73,85,85,84,93,95,83,54,59,60,64,66,45,68,65,65,79,81,74,54,52,65,69,61,40,67.96,63.83,60.52,61.09,65.6,51.55,2.189,2.281,2.633,2.33,2.308,2.94,158,330,230,102,92,188,99.11,99.05,98.99,99.06,98.9,98.06,253.2143674,251.57785315,249.98392935,248.57596026,245.26929133,242.65791456,245.84134235,244.15709126,242.52142087,241.08658246,237.47307056,232.66405424,3.19,3.15,3.19,3.16,3.16,4.01,3.74,3.68,3.78,3.64,3.73,4.55,3.45,3.43,3.43,3.38,3.39,4,1.8284335010685027,323
49,299,3.5,3.6,3.6,3.6,3.7,4,395.887,394.65,393.437,391.308,386.74,382.939,225551,215324,212779,222975,225239,229028,1.72,1.72,1.64,1.56,1.75,1.79,0.111,0.109,0.109,0.109,0.111,0.11,99.8,99.3,96.8,95.5,98.4,91.2,4201.449853382561,4343.7848089340505,4823.4933905277,3775.89362992137,4596.21709629813,3456.26143308222,16.874,16.869,17.101,16.725,17.032,16.744,17.306,17.339,17.557,17.23,17.597,17.265,12.533,12.367,12.7,12.33,12.34,11.503,260847,261757,260326,283961,291520,248927,0.24,0.25,0.2,0.16,0.22,0.17,137.922,139.097,139.674,140.779,140.365,140.706,5.5,5.6,5.6,5.4,5.8,6.9,33.39,36.6,36,37.16,40.34,39.02,206944754,170930979,191370123,215817107,150790123,245902532,8.82,9.3,9.06,8.59,9.53,8.8,1088564745,745873240,669643460,895102427,891423556,1004323476,650.57,418.33,329.94,314.92,241.61,307.02,407621638,207390450,157892383,234866048,199371373,175660650,42.44,48.63,51.09,50.85,48.68,38.75,13501639,9721479,7662255,14146550,19816125,14438788,4.17,4.22,4.3995,4.56,4.765,5.49,1108805,1035868,426213,1940038,1516463,1233755,62.12,69.78,68.13,67.57,74.36,73.28,359062435,285375379,249557145,244654156,186918995,269229087,90,82,75,69,79,75,75,64,61,67,78,86,85,85,85,84,99,88,65,54,59,60,71,51,76,68,65,65,78,77,57,54,52,65,55,30,58.94,67.96,63.83,60.52,65.53,61.19,1.841,2.189,2.281,2.633,2.233,2.814,177,158,330,230,223,59,99.15,99.11,99.05,98.99,98.95,98.01,255.24490821,253.2143674,251.57785315,249.98392935,246.08286846,242.8809972,247.96877617,245.84134235,244.15709126,242.52142087,238.43786465,233.45004022,3,3.19,3.15,3.19,3.18,3.89,3.51,3.74,3.68,3.78,3.75,4.46,3.24,3.45,3.43,3.43,3.47,3.96,7.72076767263934,332
50,309,3.5,3.5,3.6,3.6,3.7,3.8,398.41,395.887,394.65,393.437,388.735,383.255,231488,225551,215324,212779,224546,223455,1.62,1.72,1.72,1.64,1.59,1.88,0.111,0.111,0.109,0.109,0.111,0.11,101,99.8,99.3,96.8,89.8,93.8,3671.3721078961,4201.449853382561,4343.7848089340505,4823.4933905277,3764.8317896328,2646.3195664242003,16.881,16.874,16.869,17.101,17.11,16.674,17.337,17.306,17.339,17.557,17.645,17.185,12.609,12.533,12.367,12.7,12.501,11.86,242695,260847,261757,260326,293308,231791,0.17,0.24,0.25,0.2,0.06,0.18,137.758,137.922,139.097,139.674,141.969,139.499,5.7,5.5,5.6,5.6,5.6,6.4,30.5,33.39,36.6,36,37.09,39.48,246552900,206944754,170930979,191370123,150639210,180097972,6.96,8.82,9.3,9.06,9.17,8.77,1633164669,1088564745,745873240,669643460,754413259,730016395,667.99,650.57,418.33,329.94,225.61,319.88,473506012,407621638,207390450,157892383,134088212,128550254,42.73,42.44,48.63,51.09,47.46,35.26,17475243,13501639,9721479,7662255,13953344,17615476,3.36,4.17,4.22,4.3995,4.13,5.835,2484677,1108805,1035868,426213,3087514,547951,51.44,62.12,69.78,68.13,68.48,79.03,479579213,359062435,285375379,249557145,278110349,245067931,86,90,82,75,73,71,81,75,64,61,78,87,94,85,85,85,96,86,79,65,54,59,68,63,72,76,68,65,78,72,42,57,54,52,41,74,50.19,58.94,67.96,63.83,60.11,65.28,1.684,1.841,2.189,2.281,2.285,2.812,194,177,158,330,54,95,99.21,99.15,99.11,99.05,99.01,98.08,257.87335154,255.24490821,253.2143674,251.57785315,247.36495043,242.73697032,250.47808799,247.96877617,245.84134235,244.15709126,239.82382862,233.66556609,2.95,3,3.19,3.15,3.06,3.77,3.45,3.51,3.74,3.68,3.58,4.35,3.2,3.24,3.45,3.43,3.31,3.84,8.50472563249059,299
51,170,4.4,3.5,3.5,3.6,3.5,3.8,399.392,398.41,395.887,394.65,390.531,384.579,200119,231488,225551,215324,221949,233044,0.99,1.62,1.72,1.72,1.59,1.91,0.111,0.111,0.111,0.109,0.111,0.11,89.1,101,99.8,99.3,93.2,98.4,3522.1354718901,3671.3721078961,4201.449853382561,4343.7848089340505,4051.77110753728,3934.4209306106095,11.247,16.881,16.874,16.869,17.161,17.132,11.635,17.337,17.306,17.339,17.714,17.656,8.4,12.609,12.533,12.367,12.565,12.209,226638,242695,260847,261757,273319,272379,0.42,0.17,0.24,0.25,0.05,0.16,138.206,137.758,137.922,139.097,141.12,138.051,6.5,5.7,5.5,5.6,5.4,5.8,20.78,30.5,33.39,36.6,37.48,37.1,492383072,246552900,206944754,170930979,173228888,179460401,4.83,6.96,8.82,9.3,9.16,8.78,2618758073,1633164669,1088564745,745873240,663475085,944056340,524,667.99,650.57,418.33,240.87,279.86,420906139,473506012,407621638,207390450,136563111,213793753,28.06,42.73,42.44,48.63,50.7,35.72,25791293,17475243,13501639,9721479,12110446,21250415,2.6625,3.36,4.17,4.22,4.425,5.56,7111131,2484677,1108805,1035868,2036899,691901,37.97,51.44,62.12,69.78,70.61,80.8,1169374266,479579213,359062435,285375379,217304324,272455536,70,86,90,82,85,74,64,81,75,64,71,94,73,94,85,85,93,93,54,79,65,54,64,64,62,72,76,68,79,71,27,42,57,54,69,39,22.61,50.19,58.94,67.96,61.09,67.23,1.64,1.684,1.841,2.189,2.33,2.662,156,194,177,158,102,76,99.66,99.21,99.15,99.11,99.06,98.36,259.93954629,257.87335154,255.24490821,253.2143674,248.57596026,242.75885276,252.54545348,250.47808799,247.96877617,245.84134235,241.08658246,234.10761735,2.92,2.95,3,3.19,3.16,3.57,3.5,3.45,3.51,3.74,3.64,4.06,3.34,3.2,3.24,3.45,3.38,3.75,8.270681201480329,309
52,2,14.7,4.4,3.5,3.5,3.6,3.6,400.789,399.392,398.41,395.887,391.308,387.464,159130,200119,231488,225551,222975,223929,1.1,0.99,1.62,1.72,1.56,1.94,0.113,0.111,0.111,0.111,0.109,0.112,71.8,89.1,101,99.8,95.5,97.2,2715.7696310058604,3522.1354718901,3671.3721078961,4201.449853382561,3775.89362992137,4929.47376408573,8.614,11.247,16.881,16.874,16.725,16.427,8.961,11.635,17.337,17.306,17.23,16.997,6.682,8.4,12.609,12.533,12.33,11.668,167617,226638,242695,260847,283961,273413,0.44,0.42,0.17,0.24,0.16,0.19,137.273,138.206,137.758,137.922,140.779,138.355,6.7,6.5,5.7,5.5,5.4,5.7,22.29,20.78,30.5,33.39,37.16,38.95,359695097,492383072,246552900,206944754,215817107,159364373,5.09,4.83,6.96,8.82,8.59,10.45,1951160622,2618758073,1633164669,1088564745,895102427,938067587,781.88,524,667.99,650.57,314.92,238.69,381562411,420906139,473506012,407621638,234866048,230757873,37.24,28.06,42.73,42.44,50.85,41.93,25453359,25791293,17475243,13501639,14146550,19511840,2.775,2.6625,3.36,4.17,4.56,5.875,5202421,7111131,2484677,1108805,1940038,355298,46.47,37.97,51.44,62.12,67.57,80.28,790557341,1169374266,479579213,359062435,244654156,219524124,62,70,86,90,69,69,58,64,81,75,67,77,70,73,94,85,84,93,60,54,79,65,60,60,65,62,72,76,65,71,52,27,42,57,65,52,18.05,22.61,50.19,58.94,60.52,71.91,1.794,1.64,1.684,1.841,2.633,2.575,6126,156,194,177,230,59,99.83,99.66,99.21,99.15,98.99,98.51,259.78919292,259.93954629,257.87335154,255.24490821,249.98392935,243.55122258,252.48262652,252.54545348,250.47808799,247.96877617,242.52142087,235.24772851,2.77,2.92,2.95,3,3.19,3.64,3.23,3.5,3.45,3.51,3.78,4.2,3.14,3.34,3.2,3.24,3.43,3.77,9.247166219633073,170
53,363,13.2,14.7,4.4,3.5,3.6,3.6,403.365,400.789,399.392,398.41,393.437,383.266,179384,159130,200119,231488,212779,217479,1.12,1.1,0.99,1.62,1.64,1.83,0.114,0.113,0.111,0.111,0.109,0.112,72.3,71.8,89.1,101,96.8,100,4660.350028603,2715.7696310058604,3522.1354718901,3671.3721078961,4823.4933905277,4363.23392458566,12.131,8.614,11.247,16.881,17.101,17.276,12.438,8.961,11.635,17.337,17.557,17.84,9.47,6.682,8.4,12.609,12.7,12.474,221006,167617,226638,242695,260326,289711,0.5,0.44,0.42,0.17,0.2,0.19,137.773,137.273,138.206,137.758,139.674,138.227,5.3,6.7,6.5,5.7,5.6,6.5,25.88,22.29,20.78,30.5,36,33.34,347489715,359695097,492383072,246552900,191370123,219725912,5.71,5.09,4.83,6.96,9.06,9.52,1803080129,1951160622,2618758073,1633164669,669643460,800091488,835,781.88,524,667.99,329.94,185.16,272775593,381562411,420906139,473506012,157892383,282598837,39.48,37.24,28.06,42.73,51.09,39.47,18203927,25453359,25791293,17475243,7662255,19588774,3.17,2.775,2.6625,3.36,4.3995,4.825,3211718,5202421,7111131,2484677,426213,780839,45.47,46.47,37.97,51.44,68.13,70.77,476995660,790557341,1169374266,479579213,249557145,250095412,80,62,70,86,75,71,79,58,64,81,61,73,87,70,73,94,85,93,91,60,54,79,59,67,76,65,62,72,65,78,57,52,27,42,52,52,29.01,18.05,22.61,50.19,63.83,64.15,1.849,1.794,1.64,1.684,2.281,2.454,340,6126,156,194,330,156,99.84,99.83,99.66,99.21,99.05,98.56,259.74885982,259.78919292,259.93954629,257.87335154,251.57785315,244.46520439,252.48352383,252.48262652,252.54545348,250.47808799,244.15709126,236.43797048,2.62,2.77,2.92,2.95,3.15,3.46,3.15,3.23,3.5,3.45,3.68,3.99,3.13,3.14,3.34,3.2,3.43,3.6,6.233021184569225,2
54,306,11,13.2,14.7,4.4,3.6,3.6,403.095,403.365,400.789,399.392,394.65,384.479,198774,179384,159130,200119,215324,219553,1.27,1.12,1.1,0.99,1.72,1.7,0.114,0.114,0.113,0.111,0.109,0.112,78.1,72.3,71.8,89.1,99.3,98.2,3474.8231516039,4660.350028603,2715.7696310058604,3522.1354718901,4343.7848089340505,3608.27404862726,13.095,12.131,8.614,11.247,16.869,17.282,13.447,12.438,8.961,11.635,17.339,17.832,10.205,9.47,6.682,8.4,12.367,12.38,250330,221006,167617,226638,261757,281359,0.55,0.5,0.44,0.42,0.25,0.26,135.521,137.773,137.273,138.206,139.097,139.334,3.9,5.3,6.7,6.5,5.6,5.3,25.3,25.88,22.29,20.78,36.6,38.53,350626960,347489715,359695097,492383072,170930979,175431010,6.08,5.71,5.09,4.83,9.3,10.23,2158915053,1803080129,1951160622,2618758073,745873240,627588379,1079.81,835,781.88,524,418.33,223.46,255918459,272775593,381562411,420906139,207390450,214970558,37.58,39.48,37.24,28.06,48.63,41.94,18332842,18203927,25453359,25791293,9721479,12818304,2.94,3.17,2.775,2.6625,4.22,5.155,916522,3211718,5202421,7111131,1035868,1796332,44.72,45.47,46.47,37.97,69.78,76.63,584463228,476995660,790557341,1169374266,285375379,218954593,94,80,62,70,82,75,94,79,58,64,64,72,100,87,70,73,85,95,97,91,60,54,54,66,76,76,65,62,68,81,61,57,52,27,54,61,38.22,29.01,18.05,22.61,67.96,65.6,1.751,1.849,1.794,1.64,2.189,2.308,402,340,6126,156,158,92,99.87,99.84,99.83,99.66,99.11,98.9,263.14262313,259.74885982,259.78919292,259.93954629,253.2143674,245.26929133,255.85704063,252.48352383,252.48262652,252.54545348,245.84134235,237.47307056,2.59,2.62,2.77,2.92,3.19,3.16,3.13,3.15,3.23,3.5,3.74,3.73,3.08,3.13,3.14,3.34,3.45,3.39,2.487908066017553,363
55,295,10.2,11,13.2,14.7,3.5,3.7,403.802,403.095,403.365,400.789,395.887,386.74,218041,198774,179384,159130,225551,225239,1.46,1.27,1.12,1.1,1.72,1.75,0.114,0.114,0.114,0.113,0.111,0.111,72.5,78.1,72.3,71.8,99.8,98.4,3683.92875578914,3474.8231516039,4660.350028603,2715.7696310058604,4201.449853382561,4596.21709629813,14.71,13.095,12.131,8.614,16.874,17.032,15.089,13.447,12.438,8.961,17.306,17.597,11.223,10.205,9.47,6.682,12.533,12.34,265550,250330,221006,167617,260847,291520,0.47,0.55,0.5,0.44,0.24,0.22,139.088,135.521,137.773,137.273,137.922,140.365,3.5,3.9,5.3,6.7,5.5,5.8,24.89,25.3,25.88,22.29,33.39,40.34,321825294,350626960,347489715,359695097,206944754,150790123,6.61,6.08,5.71,5.09,8.82,9.53,1640215402,2158915053,1803080129,1951160622,1088564745,891423556,1430.76,1079.81,835,781.88,650.57,241.61,378234408,255918459,272775593,381562411,407621638,199371373,51.34,37.58,39.48,37.24,42.44,48.68,25142273,18332842,18203927,25453359,13501639,19816125,2.97,2.94,3.17,2.775,4.17,4.765,1109174,916522,3211718,5202421,1108805,1516463,42.08,44.72,45.47,46.47,62.12,74.36,447021565,584463228,476995660,790557341,359062435,186918995,90,94,80,62,90,79,84,94,79,58,75,78,97,100,87,70,85,99,100,97,91,60,65,71,84,76,76,65,76,78,49,61,57,52,57,55,43.02,38.22,29.01,18.05,58.94,65.53,1.799,1.751,1.849,1.794,1.841,2.233,306,402,340,6126,177,223,99.89,99.87,99.84,99.83,99.15,98.95,267.72472719,263.14262313,259.74885982,259.78919292,255.24490821,246.08286846,260.37166599,255.85704063,252.48352383,252.48262652,247.96877617,238.43786465,2.51,2.59,2.62,2.77,3,3.18,2.99,3.13,3.15,3.23,3.51,3.75,2.94,3.08,3.13,3.14,3.24,3.47,5.8046006369404495,306
56,300,8.4,10.2,11,13.2,3.5,3.7,405.128,403.802,403.095,403.365,398.41,388.735,221086,218041,198774,179384,231488,224546,1.66,1.46,1.27,1.12,1.62,1.59,0.114,0.114,0.114,0.114,0.111,0.111,74.1,72.5,78.1,72.3,101,89.8,3307.73441845536,3683.92875578914,3474.8231516039,4660.350028603,3671.3721078961,3764.8317896328,15.246,14.71,13.095,12.131,16.881,17.11,15.677,15.089,13.447,12.438,17.337,17.645,11.777,11.223,10.205,9.47,12.609,12.501,265060,265550,250330,221006,242695,293308,0.51,0.47,0.55,0.5,0.17,0.06,147.599,139.088,135.521,137.773,137.758,141.969,3.3,3.5,3.9,5.3,5.7,5.6,29.63,24.89,25.3,25.88,30.5,37.09,273045229,321825294,350626960,347489715,246552900,150639210,6.82,6.61,6.08,5.71,6.96,9.17,1114897769,1640215402,2158915053,1803080129,1633164669,754413259,498.32,1430.76,1079.81,835,667.99,225.61,403528354,378234408,255918459,272775593,473506012,134088212,56.86,51.34,37.58,39.48,42.73,47.46,15199990,25142273,18332842,18203927,17475243,13953344,3.17,2.97,2.94,3.17,3.36,4.13,1445722,1109174,916522,3211718,2484677,3087514,39.94,42.08,44.72,45.47,51.44,68.48,449383491,447021565,584463228,476995660,479579213,278110349,97,90,94,80,86,73,74,84,94,79,81,78,93,97,100,87,94,96,83,100,97,91,79,68,74,84,76,76,72,78,49,49,61,57,42,41,46.27,43.02,38.22,29.01,50.19,60.11,2.63,1.799,1.751,1.849,1.684,2.285,473,306,402,340,194,54,99.91,99.89,99.87,99.84,99.21,99.01,272.05677108,267.72472719,263.14262313,259.74885982,257.87335154,247.36495043,264.71478807,260.37166599,255.85704063,252.48352383,250.47808799,239.82382862,2.46,2.51,2.59,2.62,2.95,3.06,2.91,2.99,3.13,3.15,3.45,3.58,2.91,2.94,3.08,3.13,3.2,3.31,2.0238265227526426,295
