date,n,tgp_a,cp_a,NGF1_lag12,NGF1_lag6,NGF1_lag3,NGF1_lag2,NGF1_lag1,NGF2_lag12,NGF2_lag6,NGF2_lag3,NGF2_lag2,NGF2_lag1,IR1_lag12,IR1_lag6,IR1_lag3,IR1_lag2,IR1_lag1,HPISTB_lag12,HPISTB_lag6,HPISTB_lag3,HPISTB_lag2,HPISTB_lag1,HPIWA_lag12,HPIWA_lag6,HPIWA_lag3,HPIWA_lag2,HPIWA_lag1,FRM15_lag12,FRM15_lag6,FRM15_lag3,FRM15_lag2,FRM15_lag1,FRM30_lag12,FRM30_lag6,FRM30_lag3,FRM30_lag2,FRM30_lag1,ARM5_lag12,ARM5_lag6,ARM5_lag3,ARM5_lag2,ARM5_lag1
2016-01-01,0.6148648648648649,0.259530669557853,0,0.3378145467080316,0.3464322647362979,0.21027231988969325,0.18062736987245773,0.2230191256830602,0.16194331983805668,0.024291497975708502,0.15286624203821655,0.03503184713375796,0.2770700636942675,0,0.12878787878787937,0.19708029197080973,0.014184397163127716,0.02721088435374577,0,0,0,0,0,0,0,0,0,0,0.16560509554140115,0.28662420382165593,0.16560509554140115,0.2929936305732484,0.3312101910828026,0.16666666666666677,0.38888888888888884,0.23611111111111094,0.36805555555555564,0.409722222222222,0.11111111111111094,0.17361111111111116,0.13194444444444445,0.21527777777777757,0.2638888888888889
2016-02-01,0.5405405405405406,0.4112560415292462,0.09043294513834572,0.3526370217166494,0.33712512926577043,0.18062736987245773,0.21578765942778358,0.2096994535519126,0.3481781376518219,0.020242914979757085,0.03503184713375796,0.2770700636942675,0.12738853503184713,0.18918918918919125,0.12121212121212871,0.014598540145992822,0.028368794326245353,0.04761904761905268,0.015332836414402735,0.027788280956479422,0.027725001942949416,0.025321711448126207,0.02411777916546629,0.013493881961840969,0.025155621444031863,0.024499848812980732,0.021506865917100475,0.020727016672673168,0.22292993630573227,0.21656050955414005,0.2929936305732484,0.3312101910828026,0.22292993630573227,0.26388888888888873,0.2916666666666665,0.36805555555555564,0.409722222222222,0.2569444444444445,0.20138888888888898,0.13888888888888876,0.21527777777777757,0.2638888888888889,0.13888888888888876
2016-03-01,0.5168918918918919,0.40587879251608205,0.3157220889937038,0.3202344019303689,0.28024819027921405,0.21578765942778358,0.2023440193036884,0.009221311475409883,0.06477732793522267,0.1862348178137652,0.2770700636942675,0.12738853503184713,0.06687898089171974,0.5540540540540533,0.17424242424242628,0.02919708029197527,0.049645390070926845,0,0.033329962152642854,0.054655166879067574,0.05304750205060123,0.049695289769991255,0.046925612646066504,0.030734144203775807,0.04863656359157367,0.046114581178278574,0.042506085059660956,0.040102215446935895,0.15923566878980894,0.2292993630573248,0.3312101910828026,0.22292993630573227,0.1337579617834395,0.18749999999999997,0.3055555555555554,0.409722222222222,0.2569444444444445,0.13888888888888898,0.15277777777777765,0.14583333333333337,0.2638888888888889,0.13888888888888876,0.062499999999999924
2016-04-01,0.6722972972972973,0.3346026168140631,0.39585159268529635,0.35849706997587033,0.21027231988969325,0.2023440193036884,0,0.09392076502732245,0.6842105263157895,0.19433198380566802,0.12738853503184713,0.06687898089171974,0.1305732484076433,0.3243243243243197,0.20454545454546116,0.05109489051095413,0,0.03401360544218463,0.050941815417936215,0.08292361899660597,0.07742183950183065,0.07274502879768159,0.06705285493889122,0.04718310640454167,0.07366477704456718,0.06721912069585591,0.06213573323415334,0.05748949987895287,0.1401273885350317,0.16560509554140115,0.22292993630573227,0.1337579617834395,0.16560509554140115,0.18055555555555566,0.23611111111111094,0.2569444444444445,0.13888888888888898,0.20138888888888887,0.10416666666666664,0.13194444444444445,0.13888888888888876,0.062499999999999924,0.13888888888888876
2016-05-01,0.75,0.3695059755624334,0.11658171890816663,0.3209238193726301,0.18062736987245773,0,0.08548776284039987,0.1687158469945355,0.291497975708502,0.044534412955465584,0.06687898089171974,0.1305732484076433,0.21019108280254778,0.33783783783784016,0.015151515151522818,0,0.035460992907809206,0.11564625850340261,0.06709097337586498,0.11007080215037761,0.10047229642713562,0.09308574562163188,0.08827782051060357,0.062170339873965835,0.09796268365010954,0.08694722024099932,0.07975136030909721,0.07576402935028254,0.24840764331210174,0.2929936305732484,0.1337579617834395,0.16560509554140115,0.10828025477707003,0.31250000000000006,0.36805555555555564,0.13888888888888898,0.20138888888888887,0.16666666666666677,0.13888888888888876,0.21527777777777757,0.062499999999999924,0.13888888888888876,0.11111111111111094
2016-06-01,0.5371621621621622,0.3463153280354345,0.4062530954923393,0.3864184763874525,0.21578765942778358,0.08548776284039987,0.16097897276801099,0.20628415300546443,0.22672064777327935,0.3522267206477733,0.1305732484076433,0.21019108280254778,0.5222929936305732,0.364864864864862,0.03030303030303487,0.03649635036497168,0.12056737588652511,0.18367346938776222,0.0846889965146447,0.13486555418496288,0.12081364677461821,0.11453582845022708,0.11336594506671793,0.0785051486220382,0.11939925463978596,0.10465119747968475,0.09826588437958608,0.09803090213743552,0.31210191082802535,0.3312101910828026,0.16560509554140115,0.10828025477707003,0.10828025477707003,0.4166666666666663,0.409722222222222,0.20138888888888887,0.16666666666666677,0.15277777777777787,0.19444444444444436,0.2638888888888889,0.13888888888888876,0.11111111111111094,0.11805555555555555
2016-07-01,0.8445945945945946,0.15885887538525512,0.34889200668847886,0.3464322647362979,0.2023440193036884,0.16097897276801099,0.19889693209238185,0.42349726775956287,0.024291497975708502,0.16194331983805668,0.21019108280254778,0.5222929936305732,0.044585987261146494,0.39189189189188384,0.05303030303030833,0.12408759124087675,0.19148936170213346,0.258503401360551,0.10767988073532823,0.1587319042902559,0.14226439767859936,0.1398900438869757,0.13673554070036345,0.1000732624725144,0.14032983809217764,0.12325858008006106,0.12082518216282259,0.11871644501763177,0.28662420382165593,0.22292993630573227,0.10828025477707003,0.10828025477707003,0.038216560509553896,0.38888888888888884,0.2569444444444445,0.16666666666666677,0.15277777777777787,0.04166666666666669,0.17361111111111116,0.13888888888888876,0.11111111111111094,0.11805555555555555,0
2016-08-01,0.6385135135135135,0.250293311044306,0.46213720090470367,0.33712512926577043,0,0.19889693209238185,0.4181316787314719,0.40710382513661203,0.020242914979757085,0.08502024291497975,0.5222929936305732,0.044585987261146494,0.07006369426751592,0.3783783783783825,0,0.19708029197080973,0.26950354609929555,0.29251700680272597,0.13446517658047827,0.1813019649602971,0.1676194027872293,0.16350750325664157,0.1592164426416354,0.1251162492173899,0.15989532700240972,0.14593102272294772,0.14178238284847489,0.1385777473679146,0.21656050955414005,0.1337579617834395,0.10828025477707003,0.038216560509553896,0.038216560509553896,0.2916666666666665,0.13888888888888898,0.15277777777777787,0.04166666666666669,0.04166666666666669,0.13888888888888876,0.062499999999999924,0.11805555555555555,0,0.05555555555555532
2016-09-01,0.668918918918919,0.11405496011243114,0.536149967557913,0.28024819027921405,0.08548776284039987,0.4181316787314719,0.4015856601172009,0.41086065573770497,0.1862348178137652,0.1659919028340081,0.044585987261146494,0.07006369426751592,0.20063694267515925,0.4729729729729686,0.03787878787879628,0.2773722627737288,0.3049645390070947,0.3537414965986467,0.16036233405493594,0.20121937974044557,0.19123759773649218,0.18622684322789163,0.18577893835110684,0.14849205506923013,0.17745337761635108,0.16699333304246458,0.16190451846966702,0.16253349600531336,0.2292993630573248,0.16560509554140115,0.038216560509553896,0.038216560509553896,0.012738853503184726,0.3055555555555554,0.20138888888888887,0.04166666666666669,0.04166666666666669,0.006944444444444603,0.14583333333333337,0.13888888888888876,0,0.05555555555555532,0.03472222222222211
2016-10-01,0.6655405405405406,0.20598773806570927,0.6033344150947583,0.21027231988969325,0.16097897276801099,0.4015856601172009,0.40537745604963804,0.4173497267759564,0.19433198380566802,0.26720647773279355,0.07006369426751592,0.20063694267515925,0.18789808917197454,0.5270270270270314,0.12878787878787937,0.3138686131386901,0.36879432624113917,0.3741496598639536,0.18761046985140994,0.222223073979118,0.21395764531488484,0.2130710673646661,0.21214918104560793,0.17340820429439402,0.1959073871920343,0.18721639007675195,0.18617487166642321,0.18606838506060133,0.16560509554140115,0.10828025477707003,0.038216560509553896,0.012738853503184726,0,0.23611111111111094,0.16666666666666677,0.04166666666666669,0.006944444444444603,0,0.13194444444444445,0.11111111111111094,0.05555555555555532,0.03472222222222211,0.07638888888888883
